Title,coefficient
High Voltage,1.4137931034482758
T.N.T.,0.9736842105263158
High Voltage (International),0.8421052631578947
Dirty Deeds Done Dirt Cheap,0.8
Let There Be Rock,0.6875
Powerage,0.9090909090909091
Highway to Hell,1.5294117647058822
Back in Black,1.32
For Those About to Rock We Salute You,0.8292682926829268
Flick of the Switch,0.7948717948717948
Fly on the Wall,0.9142857142857143
Blow Up Your Video,1.53125
The Razors Edge,1.0833333333333333
Ballbreaker,0.7638888888888888
Stiff Upper Lip,1.5263157894736843
Black Ice,0.9439252336448598
Rock or Bust,1.2300884955752212
Power Up,1.0
